RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03
274772,Northeast Dallas,Dallas,TX,Dallas-Fort Worth,Dallas,1,,,,,,,,,91142,91397.8824,94089.75,96528.6,101684.8,101499.65,103441,101748.25,101178.25,101127.65,98694.6,96860.15,96165.3,97304.2,93828.65,96478.15,100256.85,102110.35,102979.9,102421.5,104022.35,102521.3,103434.6,103050.55,104473.35,103324.6,110485.7,113031.15,118037.2,118938.5,119070.75,123008.9,123532.15,118395.55,117330.15,114716.9,122221.1,120322.7,114083.65,112866.55,119869.8,126572.2,124557.35,118609.3,117789.3,118979,119055.6,127252.55,123170.7,123147.65,127970.85,139090.25,141828.45,142018.85,138927.8,140758.55,135898.1,132159.8,135062.4,138500,147000,146400,147919,142079.3,145184.4,140081.8,143975.65,152038.85,155175,143981.5,144409.55,149213.95,147806.9,142835.6,150795.35,156293.9,158611.25,159105,165265.5,166364.35,165906.15,152149.5,152548.65,145951.15,138747.05,134725.85,,177938,171829.3,168214.5,171853.2,172077.8,166305.2,161938.55,167600.45,165080,163634,157516.75,157828.7,176070.15,176964.8,175357.6,181139,179981,183527,181404.4,183924.1,185295.55,179215.95,169499.5,180100.65,186973.3,192276.7,194244.5,196273.45,193455.05,195357.2,179360.55,167959.35,176268.8,193367.95,190644.5,196526.15,209618.35,230775,232441.5,231176.55,218539.95,220204.5,218157.15,219493.15,213338.2,213258.45,205554.55,200267.4,209777.1,240156.5,238808.3,238610.7,243750,240887.5,221664.25,220947.35,205396,200080.3,211045.6,215757.5,227095.25,226042.25,227415.3,229212.1,217732.05,206253.35,198493.15,212590.2,213973.85,196366.85,180662.25,179641.5,197461.55,219943.7,211801.45,207216.65,203839.05,217678.1,217668.4,200556.1,210379.75,212450.4,205274.05,201802.6,204405.2,213429.35,224168.65,214304,206041.05,213353.25,201883.2,189382.1,183841.25,191198.75,180858.1,187212.05,199982.55,219623.25,228978.8,229842.1,242559.9,240607.9,235562.5,214911.5,219189.25,226371.9,213879.05,215419.05,232940,244708,253016.5,255471.65,254554.6,253431.6,246421.75,246926.5,241194.4,236095.1,213648.25,230605.65,251632.5,268942.75,273689.75,277500,289203,275638.6,275229.45,274222.9,276552.05,278025,256975,274250,294608,299550.6,313639.9,318776.25,320420.2,295485.9,292766.55,270227.05,268969.3,282860,286147.7,296626.8,308547.25
192689,Paradise,Las Vegas,NV,Las Vegas,Clark,2,107675,110850,112725,116075,117350,117475,118075,,,,,118950,118200,119450,122225,122625,121550,118475,119675,120350,120475,122075,123650,123925,124650,123950,125875,126000,127125,127875,125425,126150,125175,126600,129400,131650,133175,133275,132900,130825,129275,129325,126275,126050,124400,130350,134975,137600,135425,134250,134600,133275,133850,131975,130750,129500,130900,134225,137575,146800,145622.5,142577.5,140150,142500,144250,146000,144950,144775,146275,148100,149385,147365,149500,150625,151475,149925,149700,147960,147729.5,148755.5,149537.5,154136.25,157876.25,160740,163685,167400,169400,169087.5,169361.25,172226.25,174250,173500,173450,176700,187600,198450,210550,218225,228225,237725,245725,246100,252900,252600,249000,245750,250750,251525,245975,246500,248500,252450,255163,265648.6,275784.4,274961,276807.7,271003.3,268973.5,268206.45,269917.05,276700,281700,283850,281500,277750,275600,277500,281250,334400,314650,280765,262485,259100,260370,280066.5,,338640.5,290858.85,248711.65,250850,234200,254460,,405775,346417.5,293357.5,262850,242770,228510,221958.5,206242,195074.35,185246.15,164500,160600,155650,152950,157800,158633,142118.1,140724.3,137945,139405,134250,131500,129950,124965,119985,120450,122100,126500,126450,123000,118250,118175,124250,122250,117125,110175,113550,117550,118350,115450,114600,113700,113900,107445,107497.5,96950,102100,109400,101500,103750,108750,119504.5,114270.65,117048.85,115450,121015,120985,123250,124825,129481.5,138422.5,137800,145000,143245,142755,140585,146300,155450,154175,153525,146250,149600,152750,155000,158000,164600,168600,167715,170910,166575,167600,167150,163950,171050,175500,178900,180515,180685,184300,190200,190405,186287.5,183888.5,173139.2,184591.8,181950
112345,Maryvale,Phoenix,AZ,Phoenix,Maricopa,3,59861.75,59585,58315,60185,62175,65354,64902.8,66051.2,66115,65710,66336.5,64830.55,64992.95,64885.9,66066.1,65572.5,65921.25,65956.25,65010,64265,64235,65425,66950,67725,68465,68085,68425,68740,68985,69250,71925,73000,73225,74000,76200,76050,76450,77700,79200,79850,80000,79450,79615,79585,79825,79425,79600,80765,82780,85226,86004,87100,87685,87750,87325,88325,88375,89225,89650,91965,92385,92800,93850,95150,95315,96085,97415,97960,99040,98685,99300,99700,99500,99650,99800,100965,101685,103000,102950,102975,102925,102500,103650,106050,107050,108150,107700,108300,109150,108815,109535,109875,108575,108950,109550,111500,112550,113950,115915,115860,117100,118707.5,119767.5,121750,123725,126025,128325,131590,135885,141250,148600,155150,160750,167750,175150,178950,179500,182150,185100,188200,192050,195000,198025,199475,200000,205000,206000,203250,201800,205735,205315,210850,210510,207965,205525,202500,194610,188202,185468,182542,177768,170100,168640,162490,162831,163064,155034.5,143154.3,136654.2,142500,125250,112250,,82500,,56950,63050,61900,61800,57575,57975,59150,63000,67212.5,64402.5,63985,63250,61800,62950,66250,68400,67000,66550,64665,59585,57850,56000,56415,55685,52350,50385,47830,54500,54125,57625,57100,53900,53600,55250,56100,56325,60225,61625,62637.5,64702.5,66885,67325,69175,73000,74100,72650,78250,75250,75750,79950,81300,90750,93000,109700,106550,103050,101050,101395,103470,99560,99075,104250,105500,105900,108950,113525,115150,117025,115360,111910,112580,114065,117435,121215,123885,127350,130250,130700,130250,129965,129985,130500,132850,133400,135800
270958,Upper West Side,New York,NY,New York,New York,4,260588.2353,245000,238250,238000,218875,219450,205725,220400,260100,254300,229400,202650,195350,210500,217625,222750,244375,296850,280400,246800,261475,294725,285025,250975,242750,276250,303500,294250,311000,318500,303750,269550,261700,285200,318550,331500,329700,338550,373750,389250,386000,430625,394125,365650,378350,371000,380250,361125,400000,457500,487250,433875,393400,407900,420350,462850,518000,523000,552400,485000,456100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583000,557705.8824,608950,711750,713350,804400,778350,748900,680750,681500,769400,769975,776575,791715,815485,786000,732000,699525,729614,897572.3,888316.7,921350,882650,836500,779000,795000,814800,807950,820250,987500,941000,952250,864950,848050,882500,816500,868500,773400,725100,792250,848250,925250,1022000,1019500,1107017.5,1129287.25,1200203.75,1319881.45,1226809.55,1339332.5,1320128.5,1297414.95,1372638.05,1522659.65,1400334.85,1262130,1304683.5,1350315.45,1256555.95,1490733.1,1280462.1,,989106.1,1019318.95,1046038.45,1131187.5,1072980.45,1030048.55,1155550,1101250,1050844.2,999350,1032077,1084100,1045250,1043040.5,951750,922000,872500,1022000,1021500,1027250,1105750,1053084.5,1086034.15,1033800.35,1062400,913750,952750,967500,1093875,1066750,1145250,1124000,1195050,1019200,850000,757250,852150,797350,778000,800500,845600,875945,866155,822000,822250,861000,876000,813450,815050,852750,832400,889500,908350,949300,974950,981250,860500,902750,955985.5,921964.85,866520.65,886500,1001500,1012000,968750,996994,930145.8,951348.2,915000,894750,913500,883925,830075,801450,835550,1006250,1099750,1067250,1007775,991912.5,943962.5,950600,1013000,991000,964200
27080,Sherman Oaks,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,5,151000,150450,150125,149925,152500.5,149250.35,149000.15,144250,148500,153900,148650,150375,155325,160750,159550.5,165650.35,161425.65,167625.35,164000.15,161900.5,168600.35,164125.65,166225.85,192900.5,191750.15,181475.5,175975.35,173100.15,178700,178750.5,174700.35,175550.65,179650.35,180900.65,182950.35,191751.15,189750.7,191900.3,194350.5,194200.35,191750.15,190300,190000,199000,200300,194250,195325,207126,211301.7,206202,200001,201450.3,210300,213801,216425.7,223326.3,218200.7,225500.3,223750,222251,219750.7,221825.3,226325,227100,227600,233700,235701,241750.7,243700.3,252451,252600.7,251501.3,259500.7,267900.3,277476,272601.7,277776,275751.3,277625.7,279775.3,288226,301377.2,297777.35,306376.15,310300.3,318250,322351.5,334702.55,346003,354801.5,363601.95,428601.05,411676.95,390226.05,376601.95,392503.05,404278.85,416977,430252.6,442753.4,443254,433829,429679,429254,440004,447004,452504,451754,465254,490154.5,500354.85,519005,538255,538455,532805,537155,545102.5,548250.75,551800,556452.5,571754.25,571252.5,575500.75,575252.5,570754.25,566002.5,559650.75,553850,567252.5,576551.75,565450.75,550002.5,534354.25,537405,549005,577402.5,581353.25,548754.25,504002.5,508503.25,521754.25,524505,503654.5,497604.65,522752.35,497502.75,508003.9,486654.35,467104.15,432254,431002,438002.6,441253.4,412902,390600.6,390251.5,376652.55,373353,405253.5,420253.85,413004,388003.5,779507.15,652255.8,488129.2,373876.5,388452.45,397303.4,382503.5,385253.15,397503.5,402403.85,391352,385502.1,381752.55,385253,398153.5,371853.35,368003.15,367253,395003.5,401978.85,400277,390752.1,371501.05,357001.95,345752.55,364001.5,376301.5,341051.95,357327.55,367276.5,374603,365753,377503,388500.45,381150,362850,363000,402000,397500,370575,388675,397450,526900,508400,510050,497000,468900,471050,640025,643975,697250,678000,591500,596900,644750,646750,626900,654850,636000,667150,645100,689200,669800,676750,571000,621425,648375,738200,732200,747050,734250,700250,726500,694250,728750,762525,826725,812650
118208,South Los Angeles,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,6,118500,122150,121150,120750,122000,118400,115000.5,113650.35,119350.15,118350,121500.5,121000.35,115750.15,118772.5,120090.75,120681.75,120000,122500,121750,119750.5,120300.35,121900.15,121350,122268,123772.6,117295.4,119750,124750,126150,123425,128525,128150,123675.5,124975.85,125827.5,125829.55,125325.45,127159.05,131468.1,134100,133000,131600,130000.5,130800.35,132050.15,130100.5,132075.35,131375.65,130750.35,133000.65,132100.85,130901,134500.5,135650.15,136100,135350,134150,134300,135700.5,134200.35,136250.15,138450,137350.5,141250.35,144600.15,147175.5,146275.85,150450.5,153000.65,152150.85,150600.5,152500.15,151750,153250.5,154750.35,160350.65,160150.35,165050.15,168200,170000.5,171000.85,175701,171300.5,172250.65,178500.35,186000.65,183750.35,184150.65,189450.85,206150.5,213750.15,224250,218450,212300,219300,226701,237500.7,245250.3,256751,267750.7,278500.3,282501,294300.7,296701.3,301500.7,310000.3,310551.5,317651.05,324801.95,341751.05,353250.45,366401.5,374602.55,381903,399453.5,408153.85,408254,403754,403104,415302,418975.6,425252,433128.4,443502,444002.6,446851.4,447650.6,446800,448952,437453.4,454052,454502.6,460903.4,454604,441902,442850.6,437000,428002,421501.4,420002.6,429503.4,421654,406853.5,369753.15,358253,354501.5,341001.95,329677.55,315576.5,305351.45,290551.7,262852,251002,,246155.8462,239119.6471,246502,229501,222751.3,227201.7,231902,226602,219301.3,223751.7,225602,225902,242251.3,233150.7,224350.3,222501,226751.7,229252,228752,226627,233626.3,220301.7,219952,234502,238752,220502,213277,223976,232701.3,230301.7,216502,210501,214251.3,216751.7,234252,237502,226752,231251,228751.3,229751.7,226752,230751,236000.3,236750,233250,246750,243700,239050,241000,246700,252050,248250,265750,271550,264450,279750,280750,292750,292300,286950,296750,303175,313325,297750,298500,305750,310650,310600,292500,305250,322500,324500,,329692.3077,349088.2353,344525,336950,331050,340000,342000,349000,357750,346000,340250,356000,348750
270957,Upper East Side,New York,NY,New York,New York,7,281911.7647,302125,325850,292150,286975,309025,324750,288250,243225,274775,263325,263425,271750,300125,314950,377425,340250,,282500,344000,319250,319350,269300,286350,299000,292000,277625,328400,337975,294000,,363500,345625,,297050,311450,361675,368075,366000,395000,385750,401375,387125,401025,404325,427000,382150,392600,396650,459250,,579650,,455825,412275,475150,470750,465000,482500,507750,593250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485000,477058.8235,575275,686975,707250,852000,801500,704650,659350,614250,690750,642477.5,659534.25,640818.25,688625,725000,729500,712750,772250,799000,786000,811000,756500,,984625,895287.5,,1189250,,856000,960300,933200,900500,807761,755562.7,805248.3,754250,753250,830750,937000,1037650,984850,1010000,976940.5,934142.35,1076798.95,1048797.3,1015958.65,1229374.45,1124441.65,1167780.4,1199963.75,1286862.5,1312666.25,1416862.5,1309558.75,1184250,1243348,1483574.6,1645902.6,1836668.1,2054573.45,2046453.3,,1473724.8,1445783.2,1219707.35,1066160.65,1041491.7,965639.3,886150,952225,1068125,1092655.05,1222015.95,1230984.65,1161064.85,1421762.5,1374608.75,1247403.75,1075875,943662.5,779962.5,807750,938000,977000,1081750,1161250,1125500,954000,1006500,1007000,868500,874750,937951.5,903116.05,966310.45,903337.5,1158287.5,877250,816100,761400,721250,774550,854200,794250,741900,706850,820000,790250,753625,777875,770500,791250,866187.5,861062.5,838000,785000,753000,769750,886425,887322.5,902852.5,790500,797750,779250,818750,827250,805500,799212.5,823673.75,896038.75,862750,793950,791800,799750,818750,828500,854600,846650,884250,847750,855900,856100,817250,836000,849250
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,8,104350,101450,103100,103450,103950,102350,104450,102100,95950,98525,102725,102525,102575,103225,108175,109975,108875,109200,104475,100150,99050,101125,105450,106030,107570,104400,102950,101525,103225,104400,104000,103300,105500,107750,106100,105575,106625,111450,112625,113525,113695,110571.5,110851,108947.5,108075,110925,120200,118475,116250,115700,117200,120600,120925,118025,116250,116850,114700,119900,121650,123425,123625,125000,127200,128300,129325,129775,130000,130000,130750,131270,130746.5,130223.5,150000,143250,136975,132775,129815,129135,130715,130930,132905,134750,135350,132650,133250,134750,136225,138262.5,138012.5,141450,143300,144650,148350,149950,151050,153025,156975,163944,175785.8,184658.2,188900,194350,195650,195600,197500,201950,204890,211210,214210,220240,224500,225700,225300,218250,219275,218775,227250,234846,238677.2,239618.8,239850,243500,242400,242015,245685,246300,247750,248900,242300,242215,235985,236750,241650,239800,234300,233250,227250,227550,216115,216235,212750,206500,202482.5,195687.75,190764.75,191525.5,186263.55,182173.95,178178,171224.6,166703.4,152500,146250,136750,131425,122172.5,116172.5,112871.5,112148.5,107400,104900,94650,92700,91945,95605,88450,76900,77835,83022,87984.9,90131.1,80926.3,85032.7,88175,90432.5,88500,85500,80600,79560,80605,80685,78800,74950,72750,76000,78800,77500,73500,70925,68841.5,67209.05,68150,69400,71500,76050,79800,82375,81425,80450,85000,83500,82500,83200,87100,95285,94215,94800,96850,103000,112325,110750,117175,116000,116300,112550,115400,114650,114900,113137,118905.9,115581.1,120285,120615,128400,129750,127900,132100,131050,135450,134660,138531.5,142148.5,138550,140800,141700,139700,144075,145975,144700,142670
194430,East New York,New York,NY,New York,Kings,9,,,,,,,,,,,,,,,,,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,,155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,,,,235000,249705.8824,254750,251450,250550,,244423.0769,261411.7647,270050,277500,281750,286750,301750,308750,,297346.1538,316461.7647,317907.5,329625,315900,,321153.8462,343676.4706,,341923.0769,353882.3529,360950,382500,379750,383649,366304.3,363174.7,385220,375249.5,376399.65,,376615.3846,372647.0588,388600,399900,407000,412400,401800,396200,,391153.8462,,,247716,213380.1176,198290.65,191332,,205234.5385,223968.4118,220410.75,215074.4,225159.2,,,200000,,,,,,,292303,,,,,,,,,,,,,,186470,,,,,266713,,,,,,,,,,,,,,,,,,,,,,,,,,225000,,,269242,272629.0588,270230.8,266853.65,,,,,,,,,300000,285294.1176,,,308763,,,,,,,,,300808,306215.0588,,,313000,,
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,10,124875,126200,125950,125625,125175,127575,128500,126725,120100,121750,124275,129000,128850,125925,124675,124200,123400,123975,124625,125500,124600,125375,128550,,,,,130200,133600,131925,128620,124946.5,125948.5,130500,134275,130275,129150,133250,135300,135450,132500,132750,136400,134100,129500,135100,,191200,162225,142775,145075,145875,144475,145375,145900,142900,138225,146675,155107,157734.9,156747.1,154575,157950,158900,159775,159275,155650,159050,187700,179295,171621.5,165250.5,169577.5,170990.5,172963.5,170369.5,169676.5,168634.4,166947.85,165554.75,164072.5,167634.5,171027.5,175793,177850,179507,185402.4,188064.6,186697,183242.5,184750.5,188777,194024.5,198888.5,207055,217521.5,225773.5,233500,240480.5,244028.85,255001.65,257000,257000,252850,250900,236500,235500,237410,239981.5,244998,251474.65,257082.35,264725,268682.75,255014.75,235942.5,229029.75,237947.75,236300,257450,274325,283775,285060,287656.5,282823.5,281950,280550,275915,261830,247091.5,250760,246628.5,251711.5,253608.5,247870,235732,223098.35,226907.65,239048,233900,239150,238575,232575,231800,231000,235750,233500,236500,224500,215700,215650,213650,206500,201500,193000,177050,175265,182585,171000,164900,158350,149000,151150,145350,146900,145450,137970,139630,145250,141250,139400,131600,131250,133325,135925,134400,133100,127650,131350,130900,128200,125600,129250,126475,125225,132050,130250,127250,123500,118996.5,121698.5,128900,125800,129500,139075,138322.95,137100,137300,139120,142380,141825,148250,149500,158250,157700,165150,168600,165415,181350,184000,181250,193275,184625,178350,181750,188750,197700,202700,199850,196500,195000,200000,202000,211450,210300,205100,202585.5,199179.85,197105.65,195500,201150,201700,200300,206975,195035,188757,190453,198150,200450,190950
268496,Southeast Los Angeles,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,11,107625,103475,105350,104200,105700,105250,112300,104400,103750.5,106700.35,103750.15,104586,104745.2,110340.8,98500,99500.5,103500.35,108550.15,112200.5,109250.35,110500.15,112800.5,111200.35,113550.15,114650,114800,113400,115475.5,117175.35,113500.65,111850.35,114550.15,117100,114000,105200,110800,113700,112900,111600,117700.5,121450.35,121475.15,114375,117050,119075.5,119125.85,112875.5,117750.15,121125,120125,119325,120550,115700.5,120800.35,123800.15,117950.5,119750.35,120250.65,118250.35,123250.15,127250,128104.5,130768.15,130936.35,130600,127500.5,126750.35,124700.15,126100,126250.5,131550.35,126675.15,128975,134550,133450,136650,141200,144400.5,147000.35,146400.15,152100,152050.5,156200.85,153751,154176,156775.5,161715.15,161735.5,162250.35,166050.65,175450.35,174550.15,179450,182750,190000.5,196000.35,204251.15,211000.7,221001.3,229726.7,234026,240001.3,246001.7,261752,273002,278226,279425.3,281851,288901.7,300852.5,315252.85,323753,328203,332553,342053,352866.5,358486.95,362751.05,365926.95,378627.55,379201.5,384750.45,394752,399903.4,398103.5,403251.65,412750.45,413502,418503.4,412404,417852,414502.6,407253.4,406502,413500.6,426002,402752.9,398001.65,388301.95,,395849.9231,,,,,,,,,250000,,211540,211765.5294,199500.8,,,189001,166059.8235,155851,160001,172001,162751,167726,174926,164851,179001,169651,176601,174501,173301,162951,157251,168101,171251,181501,186501,182151,172101,176501,177001,184000.5,183500.65,187025.85,200976.5,191076.35,179426.15,180951,182951,187001.5,178625.65,164625.65,180501.35,185750.85,181250.8,175800.85,182200.5,202750.15,200500,205000,203000,201250,196750,,214230.7692,220000,214300,,205538.4615,204117.6471,220950,,,,249100,,,210000,224705.8824,243750,246250,,,240000,257647.0588,266250,,,280000,300588.2353,294750,299500,294500,287250,285500,287800,292200,294750,305350,307150,304000
112547,Paradise Valley,Phoenix,AZ,Phoenix,Maricopa,12,120082.35,120991.9,122700,125735.5,128306.85,127128.05,125214.6,124150,123750,126075,127500,125575,127000,127025,129950,129350,129675,129200,127100,129565,134785,134050,134845,135861,134904,134600,135100,138280,138840,137959,137383.5,135902.5,137700,141675,140125,138362.5,139387.5,141650,144775,145400,143300,141100,142395,143571.5,143323.5,141425,142840,145735,146000,147865,152450,152260,153975,154100,153800,149150,151200,146750,146210.5,147629.85,149530.65,152000,158400,159000,158550,155850,157600,154367.5,155687.25,157880.25,160700,162450,168525,171425,171250,173765,172435,169550,168968,167062.6,165755.4,168500,165450,161900,162450,166157.5,174892.5,180050,179000,177650,178525,183375,184625,188025,188545,190216.5,188218.5,192060,204175,208725,213550,212150,216050,212500,223300,222450,221550,230200,241850,253300,256350,271050,285615,288935,286815,285635,280350,278650,281400,284075,284957.5,283475,283242.5,284060,282219.5,290700.65,295388.85,291387,281723,286415,281400,280100,286585,296250,296200,287882.5,281970.25,277027.25,282885,292600,285988,286983.1,283265.45,284222.45,281750,290750,294500,300750,279750,265875,252125,277250,276000,264500,240450,231050,228900,232350,232962.5,231098.75,217513.75,206100,195750,199000,198250,182800,172765,184250,189810,202325,202725,199875,193100,199500,211115,188185,176500,169500,170225,172775,173100,167050,178275,182225,174400,171425,169725,182800,183047.4,179750,189650,193250,204850,217650,224100,233189.5,220550,218745,222305,222070,217189,208831,233000,233950,230750,236725,256365,264162.5,254700,247900,248000,248350,255950,275950,262150,248950,245200,248450,256850,255750,245945,246630,242995,246305,240775,258750,258550,250400,249400,252725,259175,256475,262725,266050,263125,267925,267450,267000,263012.5,273513.75
111818,Deer Valley,Phoenix,AZ,Phoenix,Maricopa,13,92741.5,92462.5,93507,93348,94811,93379,92950,94740,96385,98000,96950,98275,97325,95421,95174.7,96152.8,96669.05,98906.6,100343.5,100913.85,101937.2,102752.8,100553.55,100772.95,101400,104450,105965,106560,108250,105155,103476,103164,103287,105123,105900,106500,107745,109105,110225,112772,114373,114250,114475,115575,115775,116465.5,115817,116272.5,119165,119735,122400,124065,122235,121025,120640,121220,123683.5,124841.5,125650,124850,124250,125965,127885,128850,128000,127800,127700,126395,126905,126000,127415,128385,131150,135255,136970,139475,140025,142640,142950,144060,145230,144183,142817,143625,144535,146375,148461.5,149668.5,151500,149550,149400,148300,147625,147575,148577,152008.9,154825.1,157909.9,160162.1,160535,160192.5,163722.5,164110,167675,173800,177800,178500,189100,195665,208035,220450,229312.5,236402.5,244285,248600,249965,250135,245055,244010,241735,241250,243850,246600,242850,240500,237200,243200,247715,249985,252450,247215,242585,237650,235500,241075,239300,233875,232900,231791,236983.7,224327.3,219830,209500,208575,209701.5,213654.8,217396.7,211900,201250,193800,196300,200000,201850,195698,190588.6,182238.9,181820.65,170808.85,172350,167125,164325,158450,149900,143661.5,145770.05,142561.45,140765,144685,146750,143275,138125,140600,137500,140800,138200,137500,139012.5,133118.75,125343.75,130900,125500,126900,139365,139955,133355,130040,131985,134215,134040,133417.5,129897.5,131750,141250,147715,152485,152750,151800,147100,156300,155750,153250,151285,164700,171150.5,170985.35,170200,173840,176675,178742.5,179172.5,176135,177350,176365,176735,173200,175550,177400,183325,185075,195950,192350,182150,183300,187450,189500,194150,194000,191550,192950,196900,205365,204135,201765,198985,199300,199700,207500,203750,201200,203300
198687,Washington Heights,New York,NY,New York,New York,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405735.2941,356625,361769.5,363188.65,358080.85,370500,332500,351225,372993.5,324370.45,299648.05,318000,329300,334283,345833.1,313474.9,345025,344781,339421.7,397409.3,381366,329591.2,290949.8,390750,437025,453850,448500,435000,389112,420228.4,413383.6,426050,416124.5,423602.15,461872.35,490236,473015.2,479400.8,473151,498001,502255.4,527716.6,489650,448100,458250,446650,471147.5,487583.25
41466,Van Nuys,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405500,393525,404475,,,428000,342941.1765,347825,384425,418750,355450,350700,373100,411250,408000,412750,,385384.6154,360000,366075,410675,443150,422700,414900,385500,396000,437400,411550,467800,442700
272816,Astoria,New York,NY,New York,Queens,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,,,,,,,,,,,,615000,,,,,,535000,,,539672,,,,,457720,448472.9412,,523507.6923,,,575000,542647.0588,573250,593000,582550,,422929.5,417913.6,,,,466440,460298.8235,462786,470529,,,,,,435000,,,,,,,,527000,491117.6471,444650,,,,,,,,,,,,,,,,,,,,,,,,,,,,328230.7692,305352.9412,347430,336951.5,357183.5,312087.5,301787.5,308650,,359615.3846,467058.8235,439750,,415923.0769,490441.1765,444335,428062,,,420000,,404615.3846,407647.0588,414550,347895,347761.5,403833.5,390380,407770,343600,336570,353607.75,417753.15,,384230.7692,395770.5882,419293.5,414228.5,409353,426130,434156,398474,,513846.1538,618823.5294,,517692.3077
